X,Y,Z
629.8433,125.3815,487.3761
701.8717,118.8182,537.0824
-465.7136,126.61,292.2499
-660.9805,120.7317,371.695
-477.7635,173.4198,-577.6263
-471.6206,170.9291,-463.3307
-468.6045,167.7964,-437.0649
-467.2116,173.5392,-582.5732
-478.8606,168.0469,-447.4621
-488.7165,171.5897,-445.4647
-468.9695,173.6258,-557.1655
-467.1566,172.8813,-588.1821
-504.0565,122.0785,280.7358
-441.7696,169.8835,-552.6462
-473.7325,167.5048,-457.4278
-468.613,170.347,-568.4534
-492.6724,169.9929,-565.9866
-444.442,169.8857,-598.3532
-457.8446,169.7143,-586.6343
-460.056,165.7614,-445.9274
-494.8706,168.3958,-447.598
-480.1196,168.0723,-557.6136
155.57,116.26,-62.6301
155.57,116.26,-39.13007
180.94,116.26,-76.15001
-90.67646,112.79,662.5192
-546.5775,118.31,363.1624
107.3356,139.8797,-372.2911
-170.7252,132.8731,502.7177
306.8966,149.3091,123.8119
-715.8432,121.1637,97.88245
-341.5422,131.6604,552.4244
151.3333,146.6477,391.4663
411.7141,126.0615,-691.3011
-252.9395,139.5211,-105.8833
146.6426,140.1178,422.1674
-139.4995,132.7544,521.7849
-377.924,129.5447,363.7406
124.4032,140.8976,392.5889
580.047,125.0173,-504.1631
-735.0811,123.1261,138.0524
229.3408,144.1358,-562.1685
-129.022,145.8519,-724.2946
-768.1177,124.1553,142.5063
-760.0352,124.3805,134.3405
134.3939,137.1695,440.0444
-163.7189,132.4759,522.4333
452.2338,136.3766,-162.5002
202.3024,125.0385,87.73828
-360.3563,132.7854,562.9065
-309.4864,136.6646,79.79529
-257.8849,139.1557,-81.19989
164.8719,143.3907,-388.8731
227.3214,147.9875,-523.9647
-155.8253,129.7081,500.303
133.4542,139.2432,-332.7386
225.0166,147.4327,-542.3627
-348.8555,135.2907,93.81335
143.7128,144.127,-396.7841
175.9087,142.59,-365.7008
360.7622,134.6213,-176.4891
304.0284,162.2344,390.7686
342.9023,131.4704,-96.36609
-326.5842,133.828,86.48206
126.2612,137.8871,416.4252
444.816,139.7644,-185.3361
-354.7264,135.0774,569.9071
565.344,126.6833,-505.2729
107.8817,139.1371,-350.0012
-68.82999,115.042,541.2303
-29.15245,121.6391,514.1176
-47.00426,116.1418,547.9803
-614.1092,119.6701,287.4815
-553.9092,119.2884,293.0399
-593.6396,122.9897,259.8595
-89.37431,112.79,663.9638
180.34,116.26,-74.30002
156.17,116.26,-40.98007
156.17,116.26,-64.4801
-563.2401,122.9691,265.1298
666.6981,118.0861,634.2753
142.9359,133.44,-363.3253
55.43002,117.56,7.100018
138.2196,136.24,-363.1117
137.37,133.49,-361.97
-103.7403,124.6801,153.8833
758.7847,122.1298,493.2121
645.0943,123.6126,498.5233
705.4409,118.4841,525.9634
695.3597,118.5043,529.9377
746.7452,120.2691,519.9099
668.7924,121.9074,542.3817
762.5452,122.5146,500.8673
568.3036,126.6446,559.991
617.4161,124.1832,486.8675
629.0347,124.2849,475.1233
557.9969,128.6976,566.3354
697.0505,118.4702,544.7609
599,125.8019,561.4212
584.1069,127.3329,571.5414
563.4092,126.5257,546.4511
646.982,124.5458,488.9196
744.0383,119.3982,500.0928
732.913,122.0695,514.8631
738.4421,121.6401,518.0533
593.0334,127.6887,569.4221
754.8129,121.8346,486.6996
714.3766,118.476,540.2516
-501.0423,165.8654,-489.022
-452.3877,165.1398,-484.3664
-416.5919,165.726,-526.4364
-455.2669,163.2476,-451.1219
-472.474,165.8983,-487.669
-68.92668,112.79,657.7675
140.58,116.26,-79.09008
195.9301,116.26,-59.69003
140.58,116.26,-55.59005
612.7277,118.1056,651.7748
-480.1222,165.5258,-437.4003
-482.8795,167.885,-564.7673
-489.0217,167.8361,-561.5165
-460.4443,169.8883,-599.2206
-452.7048,169.8982,-598.1788
-479.6902,168.5745,-484.6725
-452.761,170.405,-561.7736
-451.6918,169.8793,-604.8454
-505.1529,119.7312,374.3464
-518.6669,165.8587,-479.2833
-428.9755,166.5944,-545.5425
-498.3636,165.8825,-506.4905
639.3081,118.04,597.5909
480.8748,157.5812,26.29948
-43.62677,121.3968,524.2249
-36.20669,119.3134,540.7045
-76.77895,117.7459,527.0192
119.6757,134.6938,-392.9652
640.673,122.168,595.6456
-571.3334,126.3176,356.6673
663.4249,121.03,578.1703
-37.47048,120.9519,516.7762
-32.32202,115.566,548.7324
-70.54076,115.5452,534.0777
354.1981,162.64,134.9616
684.4927,120.89,598.6186
665.0731,118.1162,632.6876
162.6744,133.45,-342.856
-506.0882,165.4296,-469.4452
-496.9394,165.4315,-464.7806
-466.0199,167.3153,-564.6425
-434.9258,167.22,-588.2869
-570.7218,119.322,355.8314
619.8097,117.92,651.4882
-569.7241,120.7939,361.6619
686.1328,130.27,568.1139
691.0884,130.708,602.7264
639.473,129.908,575.0388
629.418,124.1236,635.5376
627.8143,129.908,589.6077
-425.146,164.6864,-531.5171
-475.0762,165.7396,-512.5185
-522.7196,165.8521,-488.8492
655.8986,117.95,619.7418
655.9868,117.95,615.5899
355,162.64,135.4792
-437.7849,122.0819,315.023
-543.9152,123.0552,260.7192
-566.8043,127.9691,256.6792
-536.907,122.9629,265.1501
-524.2369,121.2236,277.6904
-597.5523,122.8643,299.5515
-546.0659,122.0752,280.7718
-553.9929,124.5552,266.2469
-498.4608,122.752,275.2533
-517.23,120.1578,373.0898
-457.0284,166.6928,-609.8359
-454.9135,167.5023,-574.7786
-484.3271,165.4377,-478.1419
-431.171,167.4333,-583.7535
-531.8806,165.8321,-492.6818
-434.8604,164.9418,-529.4729
-479.0074,165.755,-503.3994
479.7677,155.526,31.41454
165.6536,133.5972,-342.9726
-480.7355,118.724,313.0984
-487.7623,168.5482,-472.4254
-461.4437,170.5489,-576.0458
-437.9857,169.8396,-548.2903
-424.7008,170.7804,-582.3229
689.6291,130.551,565.7133
122.6111,134.6403,-392.4251
-493.458,118.291,330.7863
658.2823,117.95,620.0626
-463.1451,170.5747,-577.9456
-490.1251,168.5482,-471.4654
-423.0062,170.8724,-580.4191
-439.6868,169.8623,-550.1904
119.5268,138.4942,-389.9399
658.4615,121.877,584.7416
-511.1631,165.8605,-504.3719
-487.7454,166.2336,-517.7506
-446.568,166.3593,-539.4548
-508.4686,166.5123,-524.4796
162.8672,137.877,-340.8604
-423.834,176.1994,-614.7047
-490.455,171.0902,-592.9737
-411.7563,176.0707,-601.7855
-462.4918,168.9957,-464.2604
-504.7866,130.0031,284.2656
727.1394,134.5129,12.83312
-425.6336,164.6996,-531.4692
-475.318,165.7344,-512.0922
-523.1486,165.8443,-489.0862
525.4086,148.91,-392.6232
523.7466,152.09,-399.6611
524.6549,152.09,-398.3415
522.7812,152.09,-398.2663
523.4407,152.09,-396.7156
520.9474,148.86,-396.3143
521.92,148.86,-394.2842
522.5466,148.86,-395.1553
527.6173,148.86,-391.1484
527.2479,148.86,-390.1791
531.0093,148.86,-386.6966
532.2294,152.08,-392.7089
530.9522,152.09,-391.0001
530.0226,148.86,-387.5898
531.2895,148.86,-387.3883
532.9199,136.3566,-402.7898
531.1413,136.835,-398.9076
529.8939,129.49,-398.7154
529.2458,129.49,-398.1313
529.2344,129.49,-398.8955
542.7188,140.8,-412.296
533.5964,141.02,-406.5349
527.3755,141.02,-399.5101
530.0484,141.01,-401.9798
-532.7818,122.1283,272.8102
682.628,130.27,569.3616
483.0293,157.2159,22.13747
-635.6597,129.6276,288.7099
-18.11019,122.0856,522.8627
-70.11314,115.2944,512.9716
-41.32053,122.5586,506.6091
-89.74494,117.7397,535.2144
657.3347,117.95,619.9958
-644.9988,116.46,375.2383
-662.1388,116.11,401.4583
-670.3867,125.7555,320.7237
-609.9577,114.5533,388.4139
-608.2116,124.7385,264.5032
-457.263,121.4876,306.8474
-526.5444,117.7086,303.6823
-683.1196,117.5515,381.2916
637.4983,118.04,596.5895
-502.7689,166.6587,-525.4415
-507.3093,165.8805,-508.6825
-441.0842,166.0945,-537.6406
-493.0315,166.4571,-520.0829
630.8932,130.632,613.3618
636.261,131.5965,622.1954
626.2901,130.9702,604.5952
619.4482,118.63,625.7826
611.4924,117.651,646.2396
-481.7881,118.724,313.4682
411.5778,122.0959,-688.9835
-253.5392,135.5182,-103.7077
-343.5127,127.6762,551.2584
153.9418,142.9791,390.5421
304.6742,145.3819,124.6802
-715.8728,117.1862,100.1836
106.6696,135.77,-370.3461
-172.6931,129.1959,504.6469
-357.6145,129.123,563.338
451.2507,132.6735,-165.0372
-166.0884,128.633,521.5768
133.3287,133.1432,438.1027
204.897,121.2528,87.5083
-128.3479,142.0078,-721.8688
229.4474,139.6769,-563.2745
-758.4901,120.3563,132.7484
-765.6225,120.6268,144.0684
126.5441,137.4243,390.4749
-140.2922,129.0291,524.3558
146.08,136.3597,419.5835
-378.381,125.5717,361.4773
581.8872,120.8263,-503.7563
-735.9395,119.4317,140.6469
302.2456,158.2817,389.2474
175.9747,138.7226,-368.1818
143.2135,139.9449,-394.9464
362.4806,130.4851,-177.5164
225.9423,143.4126,-544.3871
-350.1567,131.6946,91.26563
135.9444,135.3825,-332.6424
-158.4143,125.9718,500.9762
-257.0217,135.2209,-83.41101
-306.6309,133.0943,80.25891
226.7363,144.0028,-526.1774
163.2547,139.4289,-387.1985
109.3643,135.1512,-348.2604
563.522,122.8113,-503.5983
-356.6426,131.1723,571.3884
-326.9594,129.7118,84.47388
127.708,133.838,418.0461
446.8822,135.673,-185.6641
340.9149,127.7527,-98.19482
683.9477,120.89,593.5479
-567.6063,123.8138,267.1912
42.05001,117.56,7.100033
-72.478,116.8429,538.439
-32.37472,124.3619,516.676
-45.66844,119.2533,544.3918
664.1419,121.03,583.2195
484.1017,157.206,22.81047
690.4636,130.551,566.8053
628.8658,125.5031,486.373
700.8837,118.8496,536.0828
-480.1981,167.6474,-456.1219
-496.0754,169.2463,-571.5894
-471.9955,170.4372,-574.1173
-445.1584,170.1386,-558.3013
-450.0242,169.6082,-594.8472
-454.4536,169.7123,-580.9747
-496.1837,168.4113,-454.0637
-466.5023,166.2682,-444.6171
690.0496,130.551,565.8013
730.978,133.9996,14.49417
-494.5872,118.291,330.8509
611.7842,117.7,651.8589
-568.4678,123.8875,266.825
-633.5133,127.966,287.1195
-86.48941,117.3075,603.3914
652.0255,118.04,610.1411
601.6221,118.0398,617.5954
-486.5382,168.0777,-559.8533
-485.1135,165.5258,-433.8427
-485.4182,167.8343,-566.4749
772.8589,120.4921,-650.0457
769.9927,120.4799,-647.7212
495.2147,127.654,-325.394
435.819,149.2604,-333.821
640.3605,121.877,595.3885
476.2856,158.0101,27.94119
726.6537,134.7734,7.066467
8.914135,1047.358,195.8212
8.645125,800.226,434.4264
6.058842,786.7043,408.3103
7.733702,1021.834,180.4939
-633.4015,127.3982,285.8422
481.8228,157.33,24.05757
-494.8896,118.291,335.5078
620.2476,118.629,631.2501
656.1974,117.95,616.8455
350.9487,165.6678,136.448
-680.3943,118.1281,384.5129
-528.8508,118.1886,307.2301
-605.9276,115.8933,388.7282
-668.9539,125.6897,324.7336
-604.0825,125.7509,264.2546
-453.2328,122.8276,307.1616
